  NUM       CLASSE     COMBUS  CUSTO1  CUSTO2  CUSTO3  CUSTO4  CUSTO5  CUSTO6  CUSTO7  CUSTO8  CUSTO9  CUST10  CUST11  CUST12  CUST13  CUST14  CUST15  CUST16
   27 J.LACERDA A2     CARVAO  245.21  281.33  274.82  273.20  269.89  268.44  267.40  265.33  265.46  264.40  264.72  263.63  263.05  263.02  262.32  262.32
   28     FIGUEIRA     CARVAO  475.68  545.75  533.12  529.98  523.57  520.75  518.73  514.70  514.96  512.91  513.52  511.42  510.29  510.23  508.88  508.88
   35   URUGUAIANA        GAS    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
   36  MARANHAO IV        GAS  197.03  204.40  190.63  179.40  184.03  190.16  193.57  201.44  208.23  211.37  212.23  216.04  219.82  221.58  222.51  222.51
   42    FORTALEZA        GAS  245.46  280.01  278.79  277.31  280.60  284.54  287.02  291.06  294.51  296.84  298.04  300.53  302.44  303.70  304.38  304.38
   43   TERMOBAHIA        GAS  482.73  480.69  478.65  476.62  474.60  472.61  470.62  468.62  466.63  464.64  462.65  460.66  458.66  456.67  454.68  454.68
   44      ANGRA 3    NUCLEAR   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58   25.58
   46  N.VENECIA 2        GAS  218.23  215.54  220.57  224.68  222.98  220.74  219.50  216.62  214.14  212.99  212.68  211.29  209.90  209.26  208.92  208.92
   47     TERMORIO        GAS  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43  328.43
   48    ARAUCARIA        GAS  936.86 1068.73 1064.08 1058.42 1070.98 1086.00 1095.50 1110.91 1124.08 1132.97 1137.54 1147.07 1154.33 1159.14 1161.76 1161.76
   49        VIANA       OLEO  968.04 1152.28 1290.75 1397.32 1478.09 1551.68 1586.82 1633.57 1656.68 1705.05 1726.05 1753.68 1771.10 1784.79 1800.29 1800.29
   50   PIRAT.12 G        GAS  470.34  536.54  534.21  531.37  537.67  545.21  549.98  557.72  564.33  568.80  571.09  575.87  579.52  581.94  583.25  583.25
   52  CAMPINA GDE       OLEO  968.06 1152.30 1290.77 1397.35 1478.12 1551.71 1586.85 1633.60 1656.71 1705.08 1726.08 1753.71 1771.13 1784.83 1800.32 1800.32
   53     GLOBAL I       OLEO 1096.65 1305.36 1462.23 1582.97 1674.46 1757.83 1797.63 1850.59 1876.78 1931.58 1955.36 1986.66 2006.40 2021.91 2039.46 2039.46
   54 JUIZ DE FORA        GAS  283.74  323.68  322.27  320.56  324.36  328.91  331.79  336.45  340.44  343.14  344.52  347.40  349.60  351.06  351.85  351.85
   55    GLOBAL II       OLEO 1096.65 1305.36 1462.23 1582.97 1674.46 1757.83 1797.63 1850.59 1876.78 1931.58 1955.36 1986.66 2006.40 2021.91 2039.46 2039.46
   57  MARACANAU I       OLEO  942.18 1121.49 1256.27 1359.99 1438.60 1510.23 1544.43 1589.93 1612.42 1659.50 1679.94 1706.83 1723.78 1737.11 1752.19 1752.19
   58   TERMOCEARA        GAS  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34  429.34
   62   SEROPEDICA        GAS  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63  409.63
   63      IBIRITE        GAS  393.64  449.05  447.09  444.72  449.99  456.30  460.30  466.77  472.30  476.04  477.96  481.96  485.01  487.04  488.13  488.13
   64       CANOAS        GAS  698.14  796.41  792.94  788.72  798.09  809.28  816.36  827.84  837.65  844.28  847.69  854.78  860.20  863.78  865.73  865.73
   67      TERMONE       OLEO  959.30 1141.87 1279.09 1384.71 1464.74 1537.67 1572.49 1618.82 1641.72 1689.66 1710.47 1737.84 1755.10 1768.68 1784.03 1784.03
   68  TRES LAGOAS        GAS  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87  261.87
   69      TERMOPB       OLEO  959.30 1141.87 1279.09 1384.71 1464.74 1537.67 1572.49 1618.82 1641.72 1689.66 1710.47 1737.84 1755.10 1768.68 1784.03 1784.03
   70   GERAMAR II       OLEO  968.02 1152.25 1290.72 1397.29 1478.05 1551.65 1586.78 1633.53 1656.65 1705.01 1726.01 1753.64 1771.06 1784.76 1800.25 1800.25
   73    GERAMAR I       OLEO  968.02 1152.25 1290.72 1397.29 1478.05 1551.65 1586.78 1633.53 1656.65 1705.01 1726.01 1753.64 1771.06 1784.76 1800.25 1800.25
   83  VALE DO ACU        GAS  474.65  472.70  470.75  468.81  466.88  464.98  463.07  461.17  459.27  457.36  455.46  453.56  451.65  449.75  447.85  447.85
   86 ST.CRUZ NOVA        GAS  213.66  221.81  206.59  194.16  199.28  206.07  209.84  218.54  226.05  229.52  230.47  234.68  238.87  240.81  241.84  241.84
   90   TERMOMACAE        GAS  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01  737.01
   96      TERMOPE        GAS  185.39  211.49  210.57  209.44  211.93  214.90  216.78  219.83  222.44  224.20  225.10  226.99  228.42  229.38  229.89  229.89
   97      CUBATAO        GAS  342.50  342.50  342.50  342.50  259.85  258.71  257.58  256.44  255.30  254.17  253.06  251.95  250.84  249.73  248.61  247.50
   98 PERNAMBU_III       OLEO  861.27  947.05 1064.39 1154.69 1223.13 1285.49 1315.26 1354.88 1374.46 1415.45 1433.25 1456.66 1471.42 1483.02 1496.15 1496.15
  106 ERB CANDEIAS   BIOMASSA   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81   87.81
  107    PAMPA SUL     CARVAO   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75   69.75
  108     XAVANTES     DIESEL 1134.91 1141.37 1167.07 1170.34 1161.89 1138.64 1157.20 1182.46 1194.21 1216.29 1222.39 1239.52 1249.27 1259.37 1267.10 1267.10
  109        ALTOS     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  110 N.PIRATINING        GAS  593.41  676.94  673.99  670.41  678.36  687.88  693.89  703.66  711.99  717.63  720.52  726.55  731.16  734.21  735.86  735.86
  111      ARACATI     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  112      BAHIA I       OLEO  908.03  992.85 1108.86 1198.15 1265.81 1327.47 1356.90 1396.07 1415.44 1455.96 1473.55 1496.70 1511.29 1522.77 1535.75 1535.75
  113     BATURITE     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  116  PARNAIBA IV        GAS  151.69  173.04  172.29  171.37  173.41  175.84  177.38  179.87  182.00  183.44  184.18  185.73  186.90  187.68  188.10  188.10
  117  CAMPO MAIOR     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  119      CAUCAIA     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  121        CRATO     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  125 ENGUIA PECEM     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  127       IGUATU     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  133   JUAZEIRO N     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  135    MARAMBAIA     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  137        GNA I        GAS  236.99  270.35  269.17  267.74  270.92  274.72  277.12  281.02  284.35  286.60  287.76  290.16  292.00  293.22  293.88  293.88
  138      NAZARIA     DIESEL  684.27  688.14  703.57  705.53  700.46  686.51  697.65  712.81  719.86  733.11  736.78  747.06  752.91  758.97  763.62  763.62
  140       MAUA 3        GAS   90.75  103.52  103.07  102.52  103.74  105.20  106.12  107.61  108.88  109.75  110.19  111.11  111.82  112.28  112.53  112.53
  144    PETROLINA       OLEO 1247.22 1365.79 1527.98 1652.81 1747.40 1833.60 1874.75 1929.51 1956.58 2013.24 2037.83 2070.19 2090.59 2106.64 2124.78 2124.78
  146  STA VITORIA   BIOMASSA  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49  121.49
  147 PROSPERIDADE        GAS  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49  153.49
  149     SAO SEPE   BIOMASSA   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75   87.75
  151     Potiguar     DIESEL 1000.98 1006.83 1030.11 1033.07 1025.41 1004.36 1021.17 1044.05 1054.69 1074.69 1080.22 1095.73 1104.57 1113.71 1120.72 1120.72
  152    TERMOCABO       OLEO  956.14 1138.11 1274.88 1380.15 1459.92 1532.60 1567.31 1613.48 1636.31 1684.09 1704.83 1732.12 1749.32 1762.85 1778.15 1778.15
  153         DAIA     DIESEL  788.32  792.84  810.83  813.12  807.21  790.93  803.93  821.61  829.83  845.29  849.57  861.55  868.38  875.45  880.87  880.87
  155   GOIANIA II     DIESEL  825.78  830.48  849.20  851.58  845.43  828.50  842.01  860.41  868.96  885.04  889.49  901.95  909.06  916.41  922.04  922.04
  156   CANDIOTA 3     CARVAO   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39   92.39
  159  Termomanaus     DIESEL 1133.20 1139.83 1166.22 1169.58 1160.90 1137.03 1156.08 1182.02 1194.08 1216.75 1223.03 1240.61 1250.62 1260.99 1268.93 1268.93
  160  Pau Ferro I     DIESEL 1133.20 1139.83 1166.22 1169.58 1160.90 1137.03 1156.08 1182.02 1194.08 1216.75 1223.03 1240.61 1250.62 1260.99 1268.93 1268.93
  161 Potiguar III     DIESEL 1000.97 1006.82 1030.09 1033.06 1025.40 1004.35 1021.16 1044.04 1054.68 1074.68 1080.21 1095.72 1104.56 1113.70 1120.71 1120.71
  162     PECEM II     DIESEL 2774.62 2791.38 2858.04 2866.52 2844.61 2784.30 2832.44 2897.97 2928.44 2985.72 3001.56 3045.98 3071.28 3097.47 3117.54 3117.54
  163  P. PECEM II     CARVAO  280.10  284.52  274.30  271.76  266.57  264.29  262.65  259.40  259.60  257.95  258.44  256.74  255.82  255.78  254.68  254.68
  164       MURICY       OLEO 1136.78 1244.86 1392.68 1506.46 1592.68 1671.24 1708.75 1758.66 1783.34 1834.98 1857.39 1886.89 1905.48 1920.11 1936.65 1936.65
  166  Camacari PI       OLEO 1136.78 1244.86 1392.68 1506.46 1592.68 1671.24 1708.75 1758.66 1783.34 1834.98 1857.39 1886.89 1905.48 1920.11 1936.65 1936.65
  167   P. PECEM I     CARVAO  280.10  284.52  274.30  271.76  266.57  264.29  262.65  259.40  259.60  257.95  258.44  256.74  255.82  255.78  254.68  254.68
  169     Cisframa   BIOMASSA  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64  330.64
  170     SUAPE II       OLEO 1021.84 1124.26 1264.35 1372.17 1453.88 1528.33 1563.88 1611.17 1634.56 1683.49 1704.74 1732.69 1750.31 1764.17 1779.84 1779.84
  171   NORTEFLU-1        GAS   86.91   99.14   98.71   98.19   99.35  100.75  101.63  103.06  104.28  105.10  105.53  106.41  107.08  107.53  107.77  107.77
  172   NORTEFLU-2        GAS   95.84  109.33  108.85  108.28  109.56  111.10  112.07  113.65  114.99  115.90  116.37  117.34  118.09  118.58  118.85  118.85
  173   NORTEFLU-3        GAS  186.81  213.11  212.18  211.05  213.55  216.55  218.44  221.52  224.14  225.92  226.83  228.72  230.17  231.13  231.65  231.65
  174   NORTEFLU-4        GAS  586.96  669.58  666.67  663.12  670.99  680.40  686.35  696.01  704.25  709.83  712.69  718.66  723.21  726.23  727.86  727.86
  176 PORTO ITAQUI     CARVAO  280.10  284.52  274.30  271.76  266.57  264.29  262.65  259.40  259.60  257.95  258.44  256.74  255.82  255.78  254.68  254.68
  182 PALMEIRAS GO     DIESEL  761.22  765.65  783.30  785.54  779.74  763.78  776.52  793.86  801.93  817.09  821.28  833.03  839.73  846.66  851.97  851.97
  183 DO ATLANTICO GAS PROCES  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60  205.60
  194    T.NORTE 2       OLEO  910.86 1084.21 1214.51 1314.79 1390.78 1460.03 1493.09 1537.07 1558.82 1604.34 1624.09 1650.09 1666.48 1679.37 1693.95 1693.95
  201    APARECIDA        GAS   90.75  103.52  103.07  102.52  103.74  105.20  106.12  107.61  108.88  109.75  110.19  111.11  111.82  112.28  112.53  112.53
  203     C. ROCHA        GAS    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  204      JARAQUI        GAS    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  205     MANAUARA        GAS    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  207  PONTA NEGRA        GAS    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  209     TAMBAQUI        GAS    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  211  BAIXADA FLU        GAS  210.47  218.54  203.46  191.15  196.22  202.94  206.68  215.30  222.74  226.19  227.12  231.30  235.44  237.37  238.38  238.38
  212 MARANHAO III        GAS   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74   84.74
  221      SYKUE I   BIOMASSA  510.12  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07  517.07
  223 PROSPERI III        GAS  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66  156.66
  224 P. SERGIPE I        GAS  295.60  313.92  342.27  361.81  377.49  394.32  406.81  419.88  431.09  443.02  451.95  463.44  470.26  477.31  481.97  481.97
  228  O. CANOAS 1        GAS  297.72  314.91  341.52  359.86  374.58  390.37  402.09  414.35  424.88  436.07  444.45  455.23  461.63  468.25  472.62  472.62
  229 Onca Pintada   BIOMASSA  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47  112.47
  230   Predilecta   BIOMASSA  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95  151.95
  235 CAMACARI MII     DIESEL 2745.62 2762.19 2828.14 2836.54 2814.85 2755.20 2802.82 2867.65 2897.79 2954.45 2970.13 3014.07 3039.10 3065.01 3084.87 3084.87
  236  Marlim Azul        GAS   90.82   97.17  106.98  113.75  119.18  125.01  129.33  133.86  137.74  141.87  144.96  148.94  151.30  153.75  155.36  155.36
  237      CAMBARA   BIOMASSA  164.84  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09  167.09
  238 GNA P. ACU 3        GAS  343.59  342.07  340.56  339.06  337.56  336.08  334.60  333.12  331.65  330.17  328.69  327.21  325.74  324.26  322.78  322.78
  239   PARNAIBA V        GAS  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41  169.41
  240 NT BARCARENA        GAS  154.47  176.21  175.45  174.51  176.58  179.06  180.63  183.17  185.34  186.81  187.56  189.13  190.33  191.12  191.55  191.55
  241 PROSPERID II        GAS  131.87  150.43  149.78  148.98  150.75  152.86  154.20  156.37  158.22  159.47  160.12  161.46  162.48  163.16  163.53  163.53
  460  B. BONITA I        GAS  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00  650.00
  462    LOR. MELO        GAS  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00
  463      VIANA 1        GAS  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00
  464     PAULINIA        GAS  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00
  465      EDLUX X        GAS  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03  616.03
  466  POVOCACAO 1        GAS  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00  750.00
  467    RE TG 100        GAS  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99
  468    Karkey 13        GAS  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52
  469    Karkey 19        GAS  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52  527.52
  470     PORSUD I        GAS  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43  632.43
  471    PORSUD II        GAS  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94  634.94
  472       EPP II        GAS  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99
  473       EPP IV        GAS  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99
  474         RJ I        GAS  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99  749.99
  334    W. ARJONA        GAS    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
  421  MARAN V L22        GAS  171.23  195.33  194.48  193.45  195.74  198.49  200.23  203.04  205.45  207.07  207.91  209.65  210.98  211.86  212.33  212.33
  422   MARAN V L7        GAS  171.23  195.33  194.48  193.45  195.74  198.49  200.23  203.04  205.45  207.07  207.91  209.65  210.98  211.86  212.33  212.33
  436 MARAN IV L22        GAS  171.23  195.33  194.48  193.45  195.74  198.49  200.23  203.04  205.45  207.07  207.91  209.65  210.98  211.86  212.33  212.33
  437  MARAN IV L7        GAS  171.23  195.33  194.48  193.45  195.74  198.49  200.23  203.04  205.45  207.07  207.91  209.65  210.98  211.86  212.33  212.33
  446  N.VEN 2 L22        GAS  232.01  264.67  263.52  262.11  265.22  268.94  271.30  275.11  278.37  280.58  281.71  284.07  285.87  287.06  287.70  287.70
  447   N.VEN 2 L7        GAS  232.27  264.96  263.81  262.41  265.52  269.25  271.60  275.42  278.69  280.89  282.02  284.38  286.19  287.38  288.03  288.03
  500  NUCLEAR            GAS   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00   46.00
  511  GNL SE FLEX        GAS  385.00  391.00  383.00  377.00  383.00  391.00  397.00  407.00  416.00  423.00  427.00  435.00  442.00  448.00  453.00  453.00
  512  GNCS SE FLEX       GAS  600.00  611.00  598.00  588.00  598.00  610.00  620.00  636.00  651.00  662.00  670.00  682.00  694.00  703.00  711.00  711.00
  513  GNNAC SE 70        GAS  259.00  264.00  258.00  253.00  258.00  264.00  269.00  276.00  284.00  289.00  293.00  299.00  305.00  309.00  313.00  313.00
  517  GNL S FLEX         GAS  385.00  391.00  383.00  377.00  383.00  391.00  397.00  407.00  416.00  423.00  427.00  435.00  442.00  448.00  453.00  453.00
  521  GNCS S FLEX        GAS  600.00  611.00  598.00  588.00  598.00  610.00  620.00  636.00  651.00  662.00  670.00  682.00  694.00  703.00  711.00  711.00
  531  GNCS NE FLEX       GAS  600.00  611.00  598.00  588.00  598.00  610.00  620.00  636.00  651.00  662.00  670.00  682.00  694.00  703.00  711.00  711.00
  533 GNNAC NE 70         GAS  259.00  264.00  258.00  253.00  258.00  264.00  269.00  276.00  284.00  289.00  293.00  299.00  305.00  309.00  313.00  313.00
  541  GNCS N FLEX        GAS  600.00  611.00  598.00  588.00  598.00  610.00  620.00  636.00  651.00  662.00  670.00  682.00  694.00  703.00  711.00  711.00
  543 GNNAC N 70          GAS  259.00  264.00  258.00  253.00  258.00  264.00  269.00  276.00  284.00  289.00  293.00  299.00  305.00  309.00  313.00  313.00
  547  CAVACO        BIOMASSA  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00  130.00
  548  CARVAO NAC      CARVAO  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00  200.00
  550  RD SE               RD  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00
  551  RD SE               RD  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00
  552 RD A NE              RD  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00  464.00
  553 RD B N               RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
  554 RD B NE              RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
  555 RD B SE              RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
  556 RD B S               RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
  557 RD C N               RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
  558 RD C NE              RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
  559 RD C SE              RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
  561 CAP MAN             GAS  600.00  611.00  598.00  588.00  598.00  610.00  620.00  636.00  651.00  662.00  670.00  682.00  694.00  703.00  711.00  711.00
  564  RETROFIT1          GAS  454.00  461.82  452.33  445.16  452.20  461.27  468.44  480.25  491.53  499.55  505.35  514.25  523.24  530.12  536.17  536.17
  565  RETROFIT2          GAS  522.00  530.80  519.76  511.43  519.61  530.16  538.49  552.23  565.34  574.66  581.41  591.76  602.21  610.21  617.24  617.24
  568  RETROFIT3          GAS  403.00  409.79  401.46  395.17  401.35  409.31  415.59  425.95  435.84  442.88  447.97  455.78  463.66  469.70  475.00  475.00
  569  RETROFIT1          GAS  545.00  554.83  543.25  534.51  543.09  554.16  562.90  577.31  591.06  600.84  607.92  618.77  629.73  638.12  645.49  645.49
  570  CAP ACRO           GAS  600.00  611.00  598.00  588.00  598.00  610.00  620.00  636.00  651.00  662.00  670.00  682.00  694.00  703.00  711.00  711.00
  571  RETROFIT5          GAS  446.00  453.51  444.21  437.18  444.08  452.98  460.00  471.58  482.64  490.50  496.19  504.91  513.73  520.47  526.40  526.40
  572  CAP MAN            GAS  600.00  611.00  598.00  588.00  598.00  610.00  620.00  636.00  651.00  662.00  670.00  682.00  694.00  703.00  711.00  711.00
  573  RETROFIT6          GAS  379.00  385.42  377.63  371.76  377.53  384.97  390.84  400.52  409.76  416.34  421.10  428.39  435.76  441.40  446.35  446.35
  575  RETROFIT7          GAS  403.00  409.79  401.46  395.17  401.35  409.31  415.59  425.95  435.84  442.88  447.97  455.78  463.66  469.70  475.00  475.00
  576  RETROFIT8          GAS  558.00  567.75  555.88  546.92  555.72  567.06  576.02  590.79  604.88  614.90  622.16  633.28  644.52  653.12  660.68  660.68
  660  RD C S              RD 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00 1024.00
 9999
