ANO  USIN    JAN    FEV    MAR    ABR    MAI    JUN    JUL    AGO    SET    OUT    NOV    DEZ     NC
2036    1  -0.31  -0.37  -0.34  -0.79  -0.76  -0.70  -0.69  -0.70  -0.50  -0.40  -0.32  -0.31    1   
2021    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1      Usos_Consuntivos - ITUTINGA
2022    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2023    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2024    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2025    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2026    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2027    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2028    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2029    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2030    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2031    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2032    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2033    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2034    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2035    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2036    2   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00    1   
2021    4  -0.71  -0.75  -0.73  -1.69  -1.78  -1.78  -1.99  -2.18  -1.59  -0.98  -0.72  -0.71    1      Usos_Consuntivos - FUNIL GRANDE
2022    4  -0.73  -0.76  -0.75  -1.73  -1.81  -1.82  -2.03  -2.23  -1.62  -1.01  -0.74  -0.73    1   
2023    4  -0.75  -0.78  -0.77  -1.76  -1.85  -1.85  -2.07  -2.27  -1.66  -1.03  -0.76  -0.75    1   
2024    4  -0.77  -0.80  -0.79  -1.80  -1.89  -1.90  -2.12  -2.32  -1.70  -1.06  -0.78  -0.77    1   
2025    4  -0.79  -0.82  -0.81  -1.84  -1.93  -1.94  -2.16  -2.37  -1.74  -1.09  -0.80  -0.79    1   
2026    4  -0.81  -0.84  -0.83  -1.88  -1.97  -1.98  -2.21  -2.42  -1.78  -1.11  -0.82  -0.81    1   
2027    4  -0.83  -0.87  -0.85  -1.92  -2.01  -2.02  -2.25  -2.47  -1.81  -1.14  -0.84  -0.83    1   
2028    4  -0.85  -0.88  -0.87  -1.96  -2.06  -2.06  -2.30  -2.53  -1.85  -1.17  -0.86  -0.85    1   
2029    4  -0.87  -0.91  -0.89  -2.00  -2.10  -2.10  -2.35  -2.58  -1.90  -1.19  -0.88  -0.87    1   
2030    4  -0.89  -0.93  -0.91  -2.04  -2.14  -2.14  -2.39  -2.62  -1.93  -1.22  -0.90  -0.89    1   
2031    4  -0.91  -0.95  -0.93  -2.08  -2.18  -2.18  -2.43  -2.66  -1.96  -1.24  -0.92  -0.91    1   
2032    4  -0.93  -0.97  -0.95  -2.12  -2.22  -2.22  -2.47  -2.70  -1.99  -1.26  -0.94  -0.93    1   
2033    4  -0.95  -0.99  -0.97  -2.16  -2.26  -2.26  -2.51  -2.74  -2.02  -1.28  -0.96  -0.95    1   
2034    4  -0.97  -1.01  -0.99  -2.20  -2.30  -2.30  -2.55  -2.78  -2.05  -1.31  -0.98  -0.97    1   
2035    4  -0.99  -1.04  -1.01  -2.24  -2.34  -2.34  -2.59  -2.82  -2.08  -1.33  -1.00  -0.99    1   
2036    4  -1.01  -1.06  -1.03  -2.28  -2.38  -2.37  -2.63  -2.86  -2.11  -1.35  -1.02  -1.01    1   
2021    6  -3.20  -3.75  -3.70 -11.43 -10.55 -11.03 -12.38 -15.60 -12.61  -8.18  -3.46  -3.20    1      Usos_Consuntivos - FURNAS
2022    6  -3.27  -3.85  -3.80 -11.89 -10.97 -11.46 -12.87 -16.23 -13.11  -8.48  -3.55  -3.27    1   
2023    6  -3.35  -3.95  -3.90 -12.36 -11.36 -11.80 -13.28 -16.88 -13.62  -8.79  -3.64  -3.35    1   
2024    6  -3.43  -4.03  -4.00 -12.84 -11.83 -12.36 -13.88 -17.56 -14.16  -9.11  -3.73  -3.43    1   
2025    6  -3.51  -4.17  -4.11 -13.33 -12.28 -12.82 -14.41 -18.25 -14.70  -9.44  -3.82  -3.51    1   
2026    6  -3.59  -4.28  -4.22 -13.84 -12.74 -13.30 -14.96 -18.97 -15.27  -9.78  -3.92  -3.59    1   
2027    6  -3.67  -4.39  -4.32 -14.37 -13.18 -13.68 -15.43 -19.70 -15.85 -10.12  -4.01  -3.67    1   
2028    6  -3.76  -4.47  -4.44 -14.91 -13.70 -14.31 -16.11 -20.47 -16.45 -10.48  -4.11  -3.76    1   
2029    6  -3.84  -4.62  -4.55 -15.46 -14.21 -14.83 -16.71 -21.25 -17.07 -10.85  -4.21  -3.84    1   
2030    6  -3.93  -4.73  -4.66 -16.03 -14.69 -15.23 -16.97 -21.47 -17.23 -10.97  -4.30  -3.93    1   
2031    6  -4.01  -4.85  -4.78 -16.59 -15.18 -15.63 -17.24 -21.69 -17.39 -11.08  -4.39  -4.01    1   
2032    6  -4.10  -4.97  -4.89 -17.16 -15.67 -16.03 -17.51 -21.90 -17.55 -11.20  -4.48  -4.10    1   
2033    6  -4.19  -5.09  -5.01 -17.73 -16.16 -16.42 -17.77 -22.12 -17.70 -11.31  -4.57  -4.19    1   
2034    6  -4.27  -5.20  -5.12 -18.29 -16.65 -16.82 -18.04 -22.34 -17.86 -11.43  -4.66  -4.27    1   
2035    6  -4.36  -5.32  -5.24 -18.86 -17.14 -17.22 -18.31 -22.56 -18.02 -11.55  -4.75  -4.36    1   
2036    6  -4.45  -5.44  -5.35 -19.42 -17.63 -17.62 -18.57 -22.77 -18.18 -11.66  -4.84  -4.45    1   
2021    7  -0.63  -0.64  -0.65  -1.56  -1.73  -2.29  -2.52  -2.67  -2.17  -1.32  -0.69  -0.63    1      Usos_Consuntivos - MASC. MORAES
2022    7  -0.64  -0.66  -0.67  -1.62  -1.79  -2.36  -2.59  -2.76  -2.25  -1.37  -0.71  -0.64    1   
2023    7  -0.66  -0.67  -0.69  -1.68  -1.84  -2.41  -2.67  -2.86  -2.34  -1.41  -0.73  -0.66    1   
2024    7  -0.68  -0.69  -0.71  -1.74  -1.91  -2.50  -2.75  -2.95  -2.42  -1.47  -0.75  -0.68    1   
2025    7  -0.69  -0.71  -0.73  -1.81  -1.98  -2.57  -2.83  -3.05  -2.51  -1.52  -0.77  -0.69    1   
2026    7  -0.71  -0.73  -0.75  -1.87  -2.05  -2.64  -2.91  -3.16  -2.60  -1.57  -0.79  -0.71    1   
2027    7  -0.73  -0.75  -0.77  -1.94  -2.11  -2.70  -2.99  -3.27  -2.71  -1.63  -0.81  -0.73    1   
2028    7  -0.75  -0.76  -0.79  -2.01  -2.19  -2.80  -3.08  -3.38  -2.80  -1.69  -0.83  -0.75    1   
2029    7  -0.77  -0.78  -0.81  -2.09  -2.27  -2.88  -3.18  -3.49  -2.90  -1.75  -0.85  -0.77    1   
2030    7  -0.79  -0.80  -0.83  -2.16  -2.34  -2.94  -3.22  -3.52  -2.93  -1.77  -0.87  -0.79    1   
2031    7  -0.80  -0.82  -0.85  -2.23  -2.41  -3.01  -3.26  -3.56  -2.95  -1.80  -0.89  -0.80    1   
2032    7  -0.82  -0.84  -0.87  -2.31  -2.48  -3.07  -3.30  -3.59  -2.98  -1.83  -0.91  -0.82    1   
2033    7  -0.84  -0.86  -0.89  -2.38  -2.55  -3.13  -3.35  -3.62  -3.01  -1.86  -0.93  -0.84    1   
2034    7  -0.86  -0.88  -0.91  -2.46  -2.62  -3.19  -3.39  -3.65  -3.04  -1.88  -0.96  -0.86    1   
2035    7  -0.88  -0.90  -0.93  -2.53  -2.69  -3.26  -3.43  -3.68  -3.07  -1.91  -0.98  -0.88    1   
2036    7  -0.90  -0.92  -0.95  -2.60  -2.76  -3.32  -3.47  -3.71  -3.09  -1.94  -1.00  -0.90    1   
2021    8  -0.11  -0.12  -0.12  -0.25  -0.30  -0.36  -0.40  -0.44  -0.36  -0.21  -0.12  -0.11    1      Usos_Consuntivos - ESTREITO GDE
2022    8  -0.12  -0.12  -0.12  -0.26  -0.31  -0.37  -0.41  -0.46  -0.37  -0.21  -0.12  -0.12    1   
2023    8  -0.12  -0.12  -0.12  -0.26  -0.31  -0.38  -0.42  -0.47  -0.38  -0.22  -0.12  -0.12    1   
2024    8  -0.12  -0.12  -0.13  -0.27  -0.32  -0.39  -0.44  -0.48  -0.39  -0.22  -0.13  -0.12    1   
2025    8  -0.12  -0.12  -0.13  -0.28  -0.33  -0.40  -0.45  -0.50  -0.40  -0.23  -0.13  -0.12    1   
2026    8  -0.12  -0.12  -0.13  -0.28  -0.34  -0.41  -0.46  -0.51  -0.41  -0.23  -0.13  -0.12    1   
2027    8  -0.12  -0.13  -0.13  -0.29  -0.35  -0.42  -0.47  -0.52  -0.42  -0.24  -0.13  -0.12    1   
2028    8  -0.13  -0.13  -0.13  -0.30  -0.36  -0.44  -0.49  -0.54  -0.43  -0.24  -0.13  -0.13    1   
2029    8  -0.13  -0.13  -0.14  -0.31  -0.37  -0.45  -0.50  -0.55  -0.44  -0.25  -0.14  -0.13    1   
2030    8  -0.13  -0.13  -0.14  -0.31  -0.38  -0.46  -0.51  -0.56  -0.45  -0.25  -0.14  -0.13    1   
2031    8  -0.13  -0.13  -0.14  -0.32  -0.39  -0.47  -0.52  -0.57  -0.45  -0.25  -0.14  -0.13    1   
2032    8  -0.13  -0.13  -0.14  -0.33  -0.40  -0.48  -0.53  -0.57  -0.46  -0.25  -0.14  -0.13    1   
2033    8  -0.13  -0.14  -0.14  -0.34  -0.41  -0.49  -0.54  -0.58  -0.46  -0.26  -0.14  -0.13    1   
2034    8  -0.14  -0.14  -0.15  -0.35  -0.42  -0.50  -0.55  -0.59  -0.46  -0.26  -0.15  -0.14    1   
2035    8  -0.14  -0.14  -0.15  -0.35  -0.43  -0.51  -0.56  -0.59  -0.47  -0.26  -0.15  -0.14    1   
2036    8  -0.14  -0.14  -0.15  -0.36  -0.44  -0.52  -0.57  -0.60  -0.47  -0.26  -0.15  -0.14    1   
2021    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.11  -0.14  -0.19  -0.16  -0.07  -0.02  -0.02    1      Usos_Consuntivos - JAGUARA
2022    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.11  -0.14  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2023    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.11  -0.14  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2024    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.11  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2025    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2026    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2027    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.11  -0.14  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2028    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2029    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2030    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2031    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2032    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2033    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2034    9  -0.02  -0.02  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.02    1   
2035    9  -0.01  -0.01  -0.02  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.02  -0.01    1   
2036    9  -0.01  -0.01  -0.01  -0.07  -0.09  -0.12  -0.15  -0.19  -0.16  -0.07  -0.01  -0.01    1   
2021   10  -0.39  -0.39  -0.39  -0.45  -0.57  -0.76  -1.02  -1.20  -1.15  -0.80  -0.39  -0.39    1      Usos_Consuntivos - IGARAPAVA
2022   10  -0.40  -0.40  -0.40  -0.46  -0.58  -0.78  -1.05  -1.24  -1.19  -0.83  -0.40  -0.40    1   
2023   10  -0.41  -0.41  -0.41  -0.48  -0.60  -0.80  -1.07  -1.27  -1.23  -0.86  -0.42  -0.41    1   
2024   10  -0.42  -0.42  -0.42  -0.49  -0.62  -0.83  -1.11  -1.31  -1.26  -0.88  -0.43  -0.42    1   
2025   10  -0.43  -0.44  -0.44  -0.51  -0.64  -0.85  -1.14  -1.35  -1.29  -0.90  -0.44  -0.43    1   
2026   10  -0.45  -0.45  -0.45  -0.52  -0.65  -0.88  -1.18  -1.39  -1.33  -0.93  -0.45  -0.45    1   
2027   10  -0.46  -0.46  -0.46  -0.54  -0.67  -0.89  -1.20  -1.42  -1.37  -0.96  -0.47  -0.46    1   
2028   10  -0.48  -0.48  -0.48  -0.55  -0.69  -0.93  -1.24  -1.46  -1.40  -0.98  -0.48  -0.48    1   
2029   10  -0.49  -0.49  -0.49  -0.57  -0.71  -0.95  -1.28  -1.50  -1.44  -1.01  -0.50  -0.49    1   
2030   10  -0.51  -0.51  -0.51  -0.59  -0.73  -0.97  -1.30  -1.52  -1.46  -1.02  -0.51  -0.51    1   
2031   10  -0.52  -0.52  -0.52  -0.60  -0.75  -0.99  -1.31  -1.53  -1.47  -1.04  -0.53  -0.52    1   
2032   10  -0.54  -0.54  -0.54  -0.62  -0.77  -1.01  -1.33  -1.55  -1.49  -1.05  -0.54  -0.54    1   
2033   10  -0.55  -0.55  -0.55  -0.64  -0.78  -1.03  -1.35  -1.57  -1.50  -1.07  -0.56  -0.55    1   
2034   10  -0.57  -0.57  -0.57  -0.66  -0.80  -1.05  -1.37  -1.59  -1.52  -1.09  -0.57  -0.57    1   
2035   10  -0.58  -0.58  -0.58  -0.67  -0.82  -1.06  -1.39  -1.60  -1.54  -1.10  -0.59  -0.58    1   
2036   10  -0.60  -0.60  -0.60  -0.69  -0.84  -1.08  -1.40  -1.62  -1.55  -1.12  -0.60  -0.60    1   
2021   11  -1.20  -1.21  -1.23  -1.91  -2.81  -4.13  -5.47  -6.18  -5.65  -3.70  -1.46  -1.20    1      Usos_Consuntivos - VOLTA GRANDE
2022   11  -1.25  -1.25  -1.28  -1.97  -2.89  -4.24  -5.62  -6.35  -5.81  -3.81  -1.51  -1.25    1   
2023   11  -1.30  -1.30  -1.33  -2.04  -2.95  -4.31  -5.72  -6.50  -5.98  -3.95  -1.57  -1.30    1   
2024   11  -1.35  -1.35  -1.38  -2.11  -3.06  -4.48  -5.92  -6.68  -6.13  -4.05  -1.63  -1.35    1   
2025   11  -1.40  -1.41  -1.43  -2.18  -3.16  -4.60  -6.08  -6.86  -6.29  -4.17  -1.69  -1.40    1   
2026   11  -1.46  -1.46  -1.49  -2.26  -3.25  -4.72  -6.23  -7.03  -6.46  -4.29  -1.75  -1.46    1   
2027   11  -1.52  -1.52  -1.55  -2.33  -3.32  -4.80  -6.34  -7.19  -6.64  -4.44  -1.81  -1.52    1   
2028   11  -1.58  -1.58  -1.61  -2.41  -3.45  -4.98  -6.56  -7.39  -6.80  -4.54  -1.88  -1.58    1   
2029   11  -1.64  -1.65  -1.68  -2.50  -3.55  -5.11  -6.73  -7.57  -6.97  -4.67  -1.95  -1.64    1   
2030   11  -1.71  -1.71  -1.74  -2.59  -3.64  -5.21  -6.82  -7.65  -7.05  -4.74  -2.02  -1.71    1   
2031   11  -1.77  -1.78  -1.81  -2.68  -3.73  -5.30  -6.91  -7.74  -7.12  -4.81  -2.09  -1.77    1   
2032   11  -1.84  -1.85  -1.88  -2.76  -3.82  -5.40  -7.01  -7.82  -7.19  -4.88  -2.15  -1.84    1   
2033   11  -1.91  -1.91  -1.95  -2.85  -3.91  -5.50  -7.10  -7.90  -7.26  -4.94  -2.22  -1.91    1   
2034   11  -1.97  -1.98  -2.02  -2.94  -4.00  -5.59  -7.19  -7.98  -7.33  -5.01  -2.29  -1.97    1   
2035   11  -2.04  -2.05  -2.08  -3.03  -4.09  -5.69  -7.29  -8.07  -7.40  -5.08  -2.35  -2.04    1   
2036   11  -2.11  -2.11  -2.15  -3.12  -4.18  -5.78  -7.38  -8.15  -7.47  -5.14  -2.42  -2.11    1   
2021   12  -4.32  -4.34  -4.41  -6.11  -7.92 -10.57 -12.91 -13.56 -12.39  -9.11  -5.57  -4.32    1      Usos_Consuntivos - P. COLOMBIA
2022   12  -4.47  -4.49  -4.57  -6.32  -8.17 -10.88 -13.28 -13.94 -12.75  -9.38  -5.76  -4.47    1   
2023   12  -4.63  -4.65  -4.73  -6.54  -8.39 -11.13 -13.59 -14.30 -13.13  -9.70  -5.95  -4.63    1   
2024   12  -4.79  -4.81  -4.90  -6.77  -8.69 -11.52 -14.04 -14.74 -13.48  -9.96  -6.15  -4.80    1   
2025   12  -4.97  -4.99  -5.07  -7.01  -8.97 -11.85 -14.43 -15.15 -13.86 -10.25  -6.35  -4.97    1   
2026   12  -5.14  -5.17  -5.25  -7.25  -9.25 -12.19 -14.83 -15.56 -14.25 -10.56  -6.56  -5.15    1   
2027   12  -5.33  -5.35  -5.44  -7.51  -9.49 -12.46 -15.16 -15.95 -14.66 -10.90  -6.79  -5.33    1   
2028   12  -5.53  -5.55  -5.64  -7.77  -9.83 -12.89 -15.65 -16.42 -15.05 -11.19  -7.01  -5.53    1   
2029   12  -5.73  -5.75  -5.85  -8.04 -10.14 -13.26 -16.07 -16.86 -15.46 -11.52  -7.25  -5.73    1   
2030   12  -5.94  -5.96  -6.06  -8.31 -10.42 -13.57 -16.38 -17.14 -15.70 -11.73  -7.46  -5.94    1   
2031   12  -6.15  -6.18  -6.28  -8.59 -10.71 -13.87 -16.69 -17.42 -15.93 -11.95  -7.67  -6.15    1   
2032   12  -6.36  -6.39  -6.49  -8.87 -10.99 -14.18 -17.00 -17.70 -16.17 -12.16  -7.88  -6.36    1   
2033   12  -6.57  -6.60  -6.71  -9.15 -11.28 -14.48 -17.31 -17.98 -16.41 -12.38  -8.10  -6.57    1   
2034   12  -6.78  -6.81  -6.92  -9.42 -11.57 -14.79 -17.62 -18.26 -16.64 -12.59  -8.31  -6.78    1   
2035   12  -7.00  -7.02  -7.14  -9.70 -11.85 -15.10 -17.93 -18.54 -16.88 -12.81  -8.52  -7.00    1   
2036   12  -7.21  -7.23  -7.35  -9.98 -12.14 -15.40 -18.24 -18.82 -17.12 -13.02  -8.73  -7.21    1   
2021   14  -0.30  -0.30  -0.30  -0.82  -0.85  -0.92  -1.14  -1.35  -1.05  -0.55  -0.38  -0.30    1      Usos_Consuntivos - CACONDE
2022   14  -0.31  -0.31  -0.31  -0.85  -0.88  -0.95  -1.18  -1.40  -1.08  -0.57  -0.39  -0.31    1   
2023   14  -0.31  -0.31  -0.31  -0.88  -0.91  -0.98  -1.22  -1.45  -1.12  -0.58  -0.40  -0.31    1   
2024   14  -0.32  -0.32  -0.32  -0.91  -0.94  -1.01  -1.26  -1.50  -1.16  -0.60  -0.41  -0.32    1   
2025   14  -0.32  -0.32  -0.32  -0.94  -0.97  -1.05  -1.31  -1.55  -1.20  -0.62  -0.41  -0.32    1   
2026   14  -0.33  -0.33  -0.33  -0.97  -1.01  -1.08  -1.35  -1.61  -1.24  -0.64  -0.42  -0.33    1   
2027   14  -0.33  -0.33  -0.33  -1.00  -1.04  -1.12  -1.40  -1.66  -1.28  -0.66  -0.43  -0.33    1   
2028   14  -0.34  -0.34  -0.34  -1.03  -1.08  -1.16  -1.45  -1.72  -1.33  -0.67  -0.44  -0.34    1   
2029   14  -0.34  -0.34  -0.35  -1.07  -1.11  -1.20  -1.50  -1.79  -1.38  -0.69  -0.45  -0.34    1   
2030   14  -0.35  -0.35  -0.35  -1.10  -1.15  -1.23  -1.54  -1.83  -1.41  -0.71  -0.46  -0.35    1   
2031   14  -0.35  -0.35  -0.36  -1.14  -1.18  -1.27  -1.58  -1.87  -1.44  -0.72  -0.47  -0.35    1   
2032   14  -0.36  -0.36  -0.36  -1.17  -1.22  -1.30  -1.62  -1.92  -1.47  -0.74  -0.48  -0.36    1   
2033   14  -0.36  -0.36  -0.37  -1.21  -1.26  -1.34  -1.66  -1.96  -1.50  -0.75  -0.48  -0.36    1   
2034   14  -0.37  -0.37  -0.37  -1.24  -1.29  -1.38  -1.70  -2.00  -1.53  -0.77  -0.49  -0.37    1   
2035   14  -0.38  -0.38  -0.38  -1.28  -1.33  -1.41  -1.74  -2.05  -1.56  -0.78  -0.50  -0.38    1   
2036   14  -0.38  -0.38  -0.38  -1.31  -1.36  -1.45  -1.78  -2.09  -1.59  -0.80  -0.51  -0.38    1   
2021   15  -0.24  -0.24  -0.24  -0.65  -0.71  -0.83  -1.07  -1.24  -0.94  -0.46  -0.27  -0.24    1      Usos_Consuntivos - EUCLID CUNHA
2022   15  -0.24  -0.24  -0.25  -0.66  -0.73  -0.85  -1.10  -1.27  -0.96  -0.47  -0.27  -0.24    1   
2023   15  -0.24  -0.24  -0.25  -0.68  -0.74  -0.87  -1.12  -1.30  -0.98  -0.48  -0.27  -0.24    1   
2024   15  -0.25  -0.25  -0.25  -0.70  -0.76  -0.89  -1.15  -1.34  -1.00  -0.49  -0.28  -0.25    1   
2025   15  -0.25  -0.25  -0.25  -0.71  -0.78  -0.91  -1.18  -1.37  -1.03  -0.49  -0.28  -0.25    1   
2026   15  -0.25  -0.25  -0.26  -0.73  -0.80  -0.93  -1.21  -1.40  -1.05  -0.50  -0.28  -0.25    1   
2027   15  -0.25  -0.25  -0.26  -0.75  -0.82  -0.95  -1.24  -1.44  -1.08  -0.51  -0.29  -0.25    1   
2028   15  -0.26  -0.26  -0.26  -0.76  -0.84  -0.98  -1.27  -1.47  -1.10  -0.52  -0.29  -0.26    1   
2029   15  -0.26  -0.26  -0.26  -0.78  -0.86  -1.00  -1.30  -1.51  -1.12  -0.53  -0.29  -0.26    1   
2030   15  -0.26  -0.26  -0.27  -0.80  -0.88  -1.02  -1.33  -1.54  -1.14  -0.53  -0.30  -0.26    1   
2031   15  -0.26  -0.26  -0.27  -0.82  -0.90  -1.04  -1.35  -1.56  -1.16  -0.54  -0.30  -0.26    1   
2032   15  -0.27  -0.27  -0.27  -0.83  -0.92  -1.06  -1.38  -1.59  -1.17  -0.54  -0.30  -0.27    1   
2033   15  -0.27  -0.27  -0.27  -0.85  -0.93  -1.08  -1.40  -1.61  -1.19  -0.55  -0.30  -0.27    1   
2034   15  -0.27  -0.27  -0.28  -0.87  -0.95  -1.10  -1.42  -1.64  -1.20  -0.55  -0.31  -0.27    1   
2035   15  -0.28  -0.28  -0.28  -0.88  -0.97  -1.12  -1.45  -1.66  -1.22  -0.56  -0.31  -0.28    1   
2036   15  -0.28  -0.28  -0.28  -0.90  -0.99  -1.14  -1.47  -1.68  -1.23  -0.57  -0.31  -0.28    1   
2021   16   0.00   0.00   0.00  -0.08  -0.09  -0.11  -0.15  -0.18  -0.14  -0.05  -0.01   0.00    1      Usos_Consuntivos - A.S.OLIVEIRA
2022   16   0.00   0.00   0.00  -0.09  -0.09  -0.11  -0.15  -0.19  -0.14  -0.05  -0.01   0.00    1   
2023   16   0.00   0.00   0.00  -0.09  -0.09  -0.11  -0.16  -0.19  -0.15  -0.05  -0.01   0.00    1   
2024   16   0.00   0.00  -0.01  -0.09  -0.10  -0.12  -0.16  -0.20  -0.15  -0.05  -0.01   0.00    1   
2025   16   0.00   0.00  -0.01  -0.09  -0.10  -0.12  -0.17  -0.21  -0.16  -0.05  -0.01   0.00    1   
2026   16   0.00   0.00  -0.01  -0.10  -0.10  -0.12  -0.17  -0.21  -0.16  -0.05  -0.01   0.00    1   
2027   16   0.00   0.00  -0.01  -0.10  -0.11  -0.13  -0.18  -0.22  -0.16  -0.06  -0.01   0.00    1   
2028   16   0.00   0.00  -0.01  -0.10  -0.11  -0.13  -0.18  -0.23  -0.17  -0.06  -0.01   0.00    1   
2029   16   0.00   0.00  -0.01  -0.10  -0.11  -0.14  -0.19  -0.23  -0.17  -0.06  -0.01   0.00    1   
2030   16  -0.01  -0.01  -0.01  -0.11  -0.12  -0.14  -0.19  -0.24  -0.18  -0.06  -0.01  -0.01    1   
